age_lut_id,age_code,age_txt,fw_annuli_txt,maiden_sw_annuli_txt,total_sw_annuli,sy_total_age,prior_spawning_count,date_added,verified
90,'4/4                                                                                                                                                                                                                                                            ,44,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
91,'5                                                                                                                                                                                                                                                              ,5,0,4,4,5,NULL,2017-06-26 14:55:23+00,TRUE
92,'5/1                                                                                                                                                                                                                                                            ,51,0,4,4,5,NULL,2017-06-26 14:55:23+00,TRUE
93,'5/2                                                                                                                                                                                                                                                            ,52,1,3,3,5,NULL,2017-06-26 14:55:23+00,TRUE
94,'5/3                                                                                                                                                                                                                                                            ,53,2,2,2,5,NULL,2017-06-26 14:55:23+00,TRUE
95,'6                                                                                                                                                                                                                                                              ,6,0,5,5,6,NULL,2017-06-26 14:55:23+00,TRUE
96,'6/1                                                                                                                                                                                                                                                            ,61,0,5,5,6,NULL,2017-06-26 14:55:23+00,TRUE
97,'6/2                                                                                                                                                                                                                                                            ,62,1,4,4,6,NULL,2017-06-26 14:55:23+00,TRUE
98,'6/3                                                                                                                                                                                                                                                            ,63,NULL,NULL,NULL,6,NULL,2017-06-26 14:55:23+00,TRUE
99,'7                                                                                                                                                                                                                                                              ,7,NULL,NULL,NULL,7,NULL,2017-06-26 14:55:23+00,TRUE
100,'7/1                                                                                                                                                                                                                                                            ,71,0,6,6,7,NULL,2017-06-26 14:55:23+00,TRUE
101,'7/2                                                                                                                                                                                                                                                            ,72,1,5,5,7,NULL,2017-06-26 14:55:23+00,TRUE
102,'8                                                                                                                                                                                                                                                              ,8,NULL,NULL,NULL,8,NULL,2017-06-26 14:55:23+00,TRUE
103,'8/1                                                                                                                                                                                                                                                            ,81,0,7,7,8,NULL,2017-06-26 14:55:23+00,TRUE
104,'8/2                                                                                                                                                                                                                                                            ,82,1,6,6,8,NULL,2017-06-26 14:55:23+00,TRUE
105,'88                                                                                                                                                                                                                                                             ,88,NULL,NULL,NULL,NULL,0,2017-06-26 14:55:23+00,TRUE
106,'9                                                                                                                                                                                                                                                              ,9,NULL,NULL,NULL,9,NULL,2017-06-26 14:55:23+00,TRUE
107,'not taken                                                                                                                                                                                                                                                      ,9,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
108,'R                                                                                                                                                                                                                                                              ,R,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
109,'R.+                                                                                                                                                                                                                                                            ,R+,NULL,0,0,NULL,0,2017-06-26 14:55:23+00,TRUE
110,'R.+F+                                                                                                                                                                                                                                                          ,R+F+,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
111,'R.+F+F+                                                                                                                                                                                                                                                        ,R+F+F+,NULL,2,2,NULL,0,2017-06-26 14:55:23+00,TRUE
112,'R.+F+F+F+                                                                                                                                                                                                                                                      ,R+F+F+F+,NULL,3,3,NULL,0,2017-06-26 14:55:23+00,TRUE
113,'R.+F+F+F+F+                                                                                                                                                                                                                                                    ,R+F+F+F+F+,NULL,4,4,NULL,0,2017-06-26 14:55:23+00,TRUE
114,'R.+F+F+S+                                                                                                                                                                                                                                                      ,R+F+F+S+,NULL,2,2,NULL,1,2017-06-26 14:55:23+00,TRUE
115,'R.+F+F+S+S+                                                                                                                                                                                                                                                    ,R+F+F+S+S+,NULL,2,2,NULL,2,2017-06-26 14:55:23+00,TRUE
116,'R.+F+S+                                                                                                                                                                                                                                                        ,R+F+S+,NULL,1,1,NULL,1,2017-06-26 14:55:23+00,TRUE
117,'R.+F+S+S                                                                                                                                                                                                                                                       ,R+F+S+S,NULL,NULL,NULL,NULL,2,2017-06-26 14:55:23+00,TRUE
118,'R.+F+S+S+                                                                                                                                                                                                                                                      ,R+F+S+S+,NULL,1,1,NULL,2,2017-06-26 14:55:23+00,TRUE
119,'R.+S+                                                                                                                                                                                                                                                          ,R+S+,NULL,0,0,NULL,1,2017-06-26 14:55:23+00,TRUE
120,'R.+S+S+                                                                                                                                                                                                                                                        ,R+S+S+,NULL,0,0,NULL,2,2017-06-26 14:55:23+00,TRUE
121,'R.+S+S+S+                                                                                                                                                                                                                                                      ,R+S+S+S+,NULL,0,0,NULL,3,2017-06-26 14:55:23+00,TRUE
122,'R.1                                                                                                                                                                                                                                                            ,R1,NULL,1,1,NULL,0,2017-06-26 14:55:23+00,TRUE
123,'R.1+                                                                                                                                                                                                                                                           ,R1+,NULL,1,1,NULL,0,2017-06-26 14:55:23+00,TRUE
124,'R.1+S+                                                                                                                                                                                                                                                         ,R1+S+,NULL,1,1,NULL,1,2017-06-26 14:55:23+00,TRUE
125,'R.1+S+S+                                                                                                                                                                                                                                                       ,R1+S+S+,NULL,1,1,NULL,2,2017-06-26 14:55:23+00,TRUE
126,'R.1S                                                                                                                                                                                                                                                           ,R1S,NULL,1,1,NULL,1,2017-06-26 14:55:23+00,TRUE
127,'R.1S1                                                                                                                                                                                                                                                          ,R1S1,NULL,1,2,NULL,1,2017-06-26 14:55:23+00,TRUE
128,'R.1S2                                                                                                                                                                                                                                                          ,R1S2,NULL,1,3,NULL,1,2017-06-26 14:55:23+00,TRUE
129,'R.2                                                                                                                                                                                                                                                            ,R2,NULL,2,2,NULL,0,2017-06-26 14:55:23+00,TRUE
130,'R.2+                                                                                                                                                                                                                                                           ,R2+,NULL,2,2,NULL,0,2017-06-26 14:55:23+00,TRUE
131,'R.2+S+                                                                                                                                                                                                                                                         ,R2+S+,NULL,2,2,NULL,1,2017-06-26 14:55:23+00,TRUE
132,'R.2+S+S+                                                                                                                                                                                                                                                       ,R2+S+S+,NULL,NULL,NULL,NULL,2,2017-06-26 14:55:23+00,TRUE
133,'R.2S                                                                                                                                                                                                                                                           ,R2S,NULL,2,2,NULL,1,2017-06-26 14:55:23+00,TRUE
134,'R.2S1                                                                                                                                                                                                                                                          ,R2S1,NULL,2,3,NULL,1,2017-06-26 14:55:23+00,TRUE
135,'R.2SS1                                                                                                                                                                                                                                                         ,R2SS1,NULL,2,3,NULL,2,2017-06-26 14:55:23+00,TRUE
136,'R.3                                                                                                                                                                                                                                                            ,R3,NULL,3,3,NULL,0,2017-06-26 14:55:23+00,TRUE
137,'R.3+                                                                                                                                                                                                                                                           ,R3+,NULL,3,3,NULL,0,2017-06-26 14:55:23+00,TRUE
138,'R.3S1                                                                                                                                                                                                                                                          ,R3S1,NULL,3,4,NULL,1,2017-06-26 14:55:23+00,TRUE
139,'R.4                                                                                                                                                                                                                                                            ,R4,NULL,4,4,NULL,0,2017-06-26 14:55:23+00,TRUE
140,'W1.+                                                                                                                                                                                                                                                           ,W1+,1,0,0,2,0,2017-06-26 14:55:23+00,TRUE
141,'W1.+F+                                                                                                                                                                                                                                                         ,W1+F+,1,1,1,3,0,2017-06-26 14:55:23+00,TRUE
142,'W1.+F+F+                                                                                                                                                                                                                                                       ,W1+F+F+,1,2,2,4,0,2017-06-26 14:55:23+00,TRUE
143,'W1.+F+F+F+                                                                                                                                                                                                                                                     ,W1+F+F+F+,1,3,3,5,0,2017-06-26 14:55:23+00,TRUE
144,'W1.+F+F+S+                                                                                                                                                                                                                                                     ,W1+F+F+S+,1,2,2,5,1,2017-06-26 14:55:23+00,TRUE
145,'W1.+F+S+                                                                                                                                                                                                                                                       ,W1+F+S+,1,1,1,4,1,2017-06-26 14:55:23+00,TRUE
146,'W1.+F+S+S+                                                                                                                                                                                                                                                     ,W1+F+S+S+,1,1,1,5,2,2017-06-26 14:55:23+00,TRUE
147,'W1.+S+                                                                                                                                                                                                                                                         ,W1+S+,1,0,0,3,1,2017-06-26 14:55:23+00,TRUE
148,'W1.+S+S+                                                                                                                                                                                                                                                       ,W1+S+S+,1,0,0,4,2,2017-06-26 14:55:23+00,TRUE
149,'W1.+S+S+S+                                                                                                                                                                                                                                                     ,W1+S+S+S+,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
150,'W1.0                                                                                                                                                                                                                                                           ,W10,NULL,NULL,NULL,NULL,NULL,2017-06-26 14:55:23+00,TRUE
